millis/1000,sens0,sens1,sens2,sens3,sens4
1,0,0,138,109,74
2,0,0,138,109,75
3,0,0,138,109,74
4,0,0,138,109,75
5,0,787,138,109,75
6,0,794,138,109,75
7,0,81,138,111,75
8,0,32,137,109,75
9,0,20,137,110,75
10,0,15,138,109,75
11,0,12,138,108,74
12,0,9,138,109,75
13,0,8,138,110,75
14,0,6,138,110,75
15,0,4,138,110,75
16,0,7,138,109,75
17,0,3,137,110,75
18,0,3,138,109,75
19,0,3,138,110,74
20,0,2,138,110,75
21,0,2,138,110,75
22,0,2,138,110,75
23,0,2,138,110,75
24,0,1,138,110,75
25,0,0,138,110,75
26,0,1,138,110,75
27,0,1,138,109,74
28,0,1,138,110,75
29,0,1,138,110,75
30,0,1,138,110,75
31,0,0,138,110,74
32,0,0,138,110,75
33,0,0,138,110,75
34,0,0,138,110,74
35,0,0,138,110,75
36,0,0,138,110,75
37,0,0,138,110,75
38,0,0,138,110,75
39,0,0,138,110,75
40,0,0,138,110,75
41,0,0,138,110,74
42,0,0,138,111,75
43,0,0,138,108,74
44,0,0,138,110,75
45,0,0,138,110,75
46,0,0,138,110,74
47,0,0,138,110,74
48,0,0,138,110,75
49,0,0,138,110,75
50,0,0,137,110,75
