millis/1000,sens0,sens1,sens2,sens3,sens4
1,0,0,149,115,71
2,0,0,149,115,71
3,0,0,149,115,71
4,0,0,149,115,71
5,0,0,149,114,71
6,0,0,149,115,71
7,0,0,149,115,71
8,0,0,149,115,71
9,0,0,149,115,71
10,0,0,149,115,72
11,0,0,149,113,71
12,0,0,149,115,72
13,0,0,149,115,72
14,0,0,149,115,71
15,0,0,149,115,72
16,0,0,149,113,71
17,0,0,149,115,72
18,0,0,149,115,73
19,0,0,149,115,71
20,0,0,149,115,71
21,0,0,149,115,71
22,0,0,149,115,71
23,0,0,149,115,71
24,0,0,149,115,72
25,0,0,149,115,71
26,0,0,149,115,71
27,0,0,149,115,71
28,0,660,149,113,71
29,0,639,149,115,71
30,0,639,149,115,72
31,0,641,149,115,72
32,0,640,149,116,71
33,0,647,149,116,71
34,0,665,149,116,71
35,0,266,149,116,71
36,919,36,149,117,71
37,0,20,149,116,70
38,137,13,149,117,71
39,624,10,149,117,71
40,862,8,149,117,71
41,0,5,149,117,71
42,0,5,149,117,71
43,0,4,149,116,71
44,0,5,149,117,72
45,0,3,149,117,71
46,0,2,149,117,71
47,0,1,149,117,71
48,0,1,149,118,71
49,0,1,149,117,72
50,0,0,149,118,71
51,0,1,149,117,71
52,0,1,149,117,71
53,0,1,149,116,71
54,0,0,149,117,71
55,0,0,149,118,71
56,0,0,149,117,72
57,0,1,149,117,72
58,0,0,149,117,72
59,0,0,149,116,71
60,0,0,149,117,71
61,0,0,149,117,72
62,0,0,149,117,71
63,0,0,149,117,71
64,0,0,149,117,71
65,0,0,149,118,69
66,0,0,149,117,72
67,0,0,149,117,71
68,0,1,149,117,71
69,0,0,149,117,71
70,0,0,149,117,72
71,0,0,149,117,72
72,0,0,149,117,71
73,0,0,149,117,71
74,0,0,149,117,71
75,0,0,149,117,71
76,0,0,149,117,72
